cancer_site,state,count,population,crude_rate_100k
I Leukemia,Alabama,1116,28877079,3.8600000000000003
I Leukemia,Alaska,228,4720625,4.83
I Leukemia,Arizona,1986,39775657,4.99
I Leukemia,Arkansas,717,17898158,4.010000000000001
I Leukemia,California,12607,236070538,5.34
I Leukemia,Colorado,1392,30887289,4.510000000000001
I Leukemia,Connecticut,907,20830240,4.3500000000000005
I Leukemia,Delaware,238,5268436,4.5200000000000005
I Leukemia,District of Columbia,129,3083338,4.18
I Leukemia,Florida,4946,102863635,4.8100000000000005
I Leukemia,Georgia,2601,62011319,4.19
I Leukemia,Hawaii,354,7747695,4.57
I Leukemia,Idaho,464,10734756,4.32
I Leukemia,Illinois,3713,79093866,4.69
I Leukemia,Indiana,1596,37414578,4.2700000000000005
I Leukemia,Iowa,815,18924991,4.3100000000000005
I Leukemia,Kansas,815,18406535,4.43
I Leukemia,Kentucky,1118,25974328,4.3
I Leukemia,Louisiana,1165,29086064,4.010000000000001
I Leukemia,Maine,335,7144119,4.69
I Leukemia,Maryland,1360,34984232,3.89
I Leukemia,Massachusetts,1593,37580693,4.24
I Leukemia,Michigan,2595,61154757,4.24
I Leukemia,Minnesota,1508,33142582,4.55
I Leukemia,Mississippi,581,15669603,3.7100000000000004
I Leukemia,Missouri,1417,36266473,3.91
I Leukemia,Montana,266,5846055,4.55
I Leukemia,Nebraska,530,11903430,4.45
I Leukemia,Nevada,839,16014625,5.24
I Leukemia,New Hampshire,325,7453487,4.36
I Leukemia,New Jersey,2564,52654520,4.870000000000001
I Leukemia,New Mexico,658,12904509,5.1000000000000005
I Leukemia,New York,5286,113517852,4.66
I Leukemia,North Carolina,2426,56649928,4.28
I Leukemia,North Dakota,173,4266274,4.0600000000000005
I Leukemia,Ohio,2946,70366333,4.19
I Leukemia,Oklahoma,1077,23756620,4.53
I Leukemia,Oregon,1071,22097759,4.8500000000000005
I Leukemia,Pennsylvania,3305,72683727,4.55
I Leukemia,Rhode Island,293,6082080,4.82
I Leukemia,South Carolina,1051,27583495,3.8100000000000005
I Leukemia,South Dakota,214,4834317,4.43
I Leukemia,Tennessee,1636,37884392,4.32
I Leukemia,Texas,9377,172599550,5.43
I Leukemia,Utah,1001,21588203,4.64
I Leukemia,Vermont,179,3490801,5.13
I Leukemia,Virginia,1903,47413830,4.010000000000001
I Leukemia,Washington,1886,40520105,4.65
I Leukemia,West Virginia,389,9950567,3.91
I Leukemia,Wisconsin,1602,34329682,4.670000000000001
I Leukemia,Wyoming,129,3396153,3.8000000000000003
I(a) Lymphoid leukemias,Alabama,722,28877079,2.5
I(a) Lymphoid leukemias,Alaska,154,4720625,3.2600000000000002
I(a) Lymphoid leukemias,Arizona,1485,39775657,3.73
I(a) Lymphoid leukemias,Arkansas,512,17898158,2.8600000000000003
I(a) Lymphoid leukemias,California,9475,236070538,4.010000000000001
I(a) Lymphoid leukemias,Colorado,1062,30887289,3.44
I(a) Lymphoid leukemias,Connecticut,654,20830240,3.14
I(a) Lymphoid leukemias,Delaware,171,5268436,3.25
I(a) Lymphoid leukemias,District of Columbia,88,3083338,2.85
I(a) Lymphoid leukemias,Florida,3507,102863635,3.41
I(a) Lymphoid leukemias,Georgia,1762,62011319,2.84
I(a) Lymphoid leukemias,Hawaii,240,7747695,3.1
I(a) Lymphoid leukemias,Idaho,354,10734756,3.3000000000000003
I(a) Lymphoid leukemias,Illinois,2760,79093866,3.49
I(a) Lymphoid leukemias,Indiana,1176,37414578,3.14
I(a) Lymphoid leukemias,Iowa,597,18924991,3.1500000000000004
I(a) Lymphoid leukemias,Kansas,585,18406535,3.18
I(a) Lymphoid leukemias,Kentucky,819,25974328,3.1500000000000004
I(a) Lymphoid leukemias,Louisiana,771,29086064,2.6500000000000004
I(a) Lymphoid leukemias,Maine,250,7144119,3.5
I(a) Lymphoid leukemias,Maryland,935,34984232,2.67
I(a) Lymphoid leukemias,Massachusetts,1197,37580693,3.19
I(a) Lymphoid leukemias,Michigan,1809,61154757,2.9600000000000004
I(a) Lymphoid leukemias,Minnesota,1106,33142582,3.34
I(a) Lymphoid leukemias,Mississippi,401,15669603,2.5600000000000005
I(a) Lymphoid leukemias,Missouri,1034,36266473,2.85
I(a) Lymphoid leukemias,Montana,179,5846055,3.0600000000000005
I(a) Lymphoid leukemias,Nebraska,368,11903430,3.09
I(a) Lymphoid leukemias,Nevada,596,16014625,3.7200000000000006
I(a) Lymphoid leukemias,New Hampshire,242,7453487,3.25
I(a) Lymphoid leukemias,New Jersey,1843,52654520,3.5
I(a) Lymphoid leukemias,New Mexico,498,12904509,3.8600000000000003
I(a) Lymphoid leukemias,New York,3656,113517852,3.2200000000000006
I(a) Lymphoid leukemias,North Carolina,1741,56649928,3.0700000000000003
I(a) Lymphoid leukemias,North Dakota,143,4266274,3.35
I(a) Lymphoid leukemias,Ohio,2115,70366333,3.0100000000000002
I(a) Lymphoid leukemias,Oklahoma,778,23756620,3.2700000000000005
I(a) Lymphoid leukemias,Oregon,813,22097759,3.6799999999999997
I(a) Lymphoid leukemias,Pennsylvania,2393,72683727,3.29
I(a) Lymphoid leukemias,Rhode Island,194,6082080,3.19
I(a) Lymphoid leukemias,South Carolina,744,27583495,2.7
I(a) Lymphoid leukemias,South Dakota,151,4834317,3.12
I(a) Lymphoid leukemias,Tennessee,1176,37884392,3.1
I(a) Lymphoid leukemias,Texas,6672,172599550,3.8700000000000006
I(a) Lymphoid leukemias,Utah,734,21588203,3.4000000000000004
I(a) Lymphoid leukemias,Vermont,136,3490801,3.9000000000000004
I(a) Lymphoid leukemias,Virginia,1382,47413830,2.91
I(a) Lymphoid leukemias,Washington,1392,40520105,3.44
I(a) Lymphoid leukemias,West Virginia,272,9950567,2.7300000000000004
I(a) Lymphoid leukemias,Wisconsin,1162,34329682,3.38
I(a) Lymphoid leukemias,Wyoming,106,3396153,3.12
I(b) Acute myeloid leukemias,Alabama,213,28877079,0.7400000000000001
I(b) Acute myeloid leukemias,Alaska,42,4720625,0.8900000000000001
I(b) Acute myeloid leukemias,Arizona,305,39775657,0.77
I(b) Acute myeloid leukemias,Arkansas,134,17898158,0.75
I(b) Acute myeloid leukemias,California,2135,236070538,0.9
I(b) Acute myeloid leukemias,Colorado,239,30887289,0.77
I(b) Acute myeloid leukemias,Connecticut,156,20830240,0.75
I(b) Acute myeloid leukemias,Delaware,43,5268436,0.82
I(b) Acute myeloid leukemias,District of Columbia,26,3083338,0.8400000000000001
I(b) Acute myeloid leukemias,Florida,895,102863635,0.87
I(b) Acute myeloid leukemias,Georgia,520,62011319,0.8400000000000001
I(b) Acute myeloid leukemias,Hawaii,90,7747695,1.16
I(b) Acute myeloid leukemias,Idaho,67,10734756,0.6200000000000001
I(b) Acute myeloid leukemias,Illinois,635,79093866,0.8
I(b) Acute myeloid leukemias,Indiana,298,37414578,0.8
I(b) Acute myeloid leukemias,Iowa,144,18924991,0.76
I(b) Acute myeloid leukemias,Kansas,138,18406535,0.75
I(b) Acute myeloid leukemias,Kentucky,189,25974328,0.73
I(b) Acute myeloid leukemias,Louisiana,244,29086064,0.8400000000000001
I(b) Acute myeloid leukemias,Maine,60,7144119,0.8400000000000001
I(b) Acute myeloid leukemias,Maryland,265,34984232,0.76
I(b) Acute myeloid leukemias,Massachusetts,277,37580693,0.7400000000000001
I(b) Acute myeloid leukemias,Michigan,499,61154757,0.82
I(b) Acute myeloid leukemias,Minnesota,258,33142582,0.78
I(b) Acute myeloid leukemias,Mississippi,112,15669603,0.71
I(b) Acute myeloid leukemias,Missouri,273,36266473,0.75
I(b) Acute myeloid leukemias,Montana,46,5846055,0.79
I(b) Acute myeloid leukemias,Nebraska,105,11903430,0.8800000000000001
I(b) Acute myeloid leukemias,Nevada,134,16014625,0.8400000000000001
I(b) Acute myeloid leukemias,New Hampshire,56,7453487,0.75
I(b) Acute myeloid leukemias,New Jersey,424,52654520,0.81
I(b) Acute myeloid leukemias,New Mexico,95,12904509,0.7400000000000001
I(b) Acute myeloid leukemias,New York,945,113517852,0.8300000000000001
I(b) Acute myeloid leukemias,North Carolina,439,56649928,0.77
I(b) Acute myeloid leukemias,North Dakota,21,4266274,0.49000000000000005
I(b) Acute myeloid leukemias,Ohio,527,70366333,0.75
I(b) Acute myeloid leukemias,Oklahoma,197,23756620,0.8300000000000001
I(b) Acute myeloid leukemias,Oregon,169,22097759,0.76
I(b) Acute myeloid leukemias,Pennsylvania,586,72683727,0.81
I(b) Acute myeloid leukemias,Rhode Island,57,6082080,0.9400000000000001
