cancer_site,state,age_group,count,population,crude_rate_100k
I Leukemia,Alabama,1-4 years,372,5469476,6.800000000000001
I Leukemia,Alabama,10-14 years,181,7397945,2.45
I Leukemia,Alabama,15-19 years,209,7638677,2.74
I Leukemia,Alabama,5-9 years,255,7009562,3.64
I Leukemia,Alabama,< 1 year,99,1361419,7.2700000000000005
I Leukemia,Alaska,1-4 years,100,937213,10.670000000000002
I Leukemia,Alaska,10-14 years,30,1209026,2.4800000000000004
I Leukemia,Alaska,15-19 years,38,1168656,3.25
I Leukemia,Alaska,5-9 years,46,1166606,3.94
I Leukemia,Arizona,1-4 years,759,7848058,9.670000000000002
I Leukemia,Arizona,10-14 years,371,10094587,3.6799999999999997
I Leukemia,Arizona,15-19 years,354,10095459,3.5100000000000002
I Leukemia,Arizona,5-9 years,420,9792522,4.29
I Leukemia,Arizona,< 1 year,82,1945031,4.220000000000001
I Leukemia,Arkansas,1-4 years,275,3472397,7.920000000000001
I Leukemia,Arkansas,10-14 years,136,4554311,2.99
I Leukemia,Arkansas,15-19 years,127,4612721,2.75
I Leukemia,Arkansas,5-9 years,147,4395513,3.34
I Leukemia,Arkansas,< 1 year,32,863216,3.7100000000000004
I Leukemia,California,1-4 years,4595,45553226,10.090000000000002
I Leukemia,California,10-14 years,2259,60367276,3.74
I Leukemia,California,15-19 years,2332,60988865,3.8200000000000003
I Leukemia,California,5-9 years,2813,57817061,4.870000000000001
I Leukemia,California,< 1 year,608,11344110,5.36
I Leukemia,Colorado,1-4 years,513,6020046,8.520000000000001
I Leukemia,Colorado,10-14 years,238,7841777,3.04
I Leukemia,Colorado,15-19 years,277,7910284,3.5
I Leukemia,Colorado,5-9 years,311,7622280,4.08
I Leukemia,Colorado,< 1 year,53,1492902,3.5500000000000003
I Leukemia,Connecticut,1-4 years,326,3732294,8.73
I Leukemia,Connecticut,10-14 years,187,5495849,3.4000000000000004
I Leukemia,Connecticut,15-19 years,177,5663881,3.1300000000000003
I Leukemia,Connecticut,5-9 years,179,5050886,3.54
I Leukemia,Connecticut,< 1 year,38,887330,4.28
I Leukemia,Delaware,1-4 years,90,1000685,8.99
I Leukemia,Delaware,10-14 years,43,1333659,3.2200000000000006
I Leukemia,Delaware,15-19 years,38,1411125,2.69
I Leukemia,Delaware,5-9 years,59,1272824,4.64
I Leukemia,District of Columbia,1-4 years,49,655965,7.470000000000001
I Leukemia,District of Columbia,10-14 years,23,657751,3.5
I Leukemia,District of Columbia,15-19 years,25,870744,2.87
I Leukemia,District of Columbia,5-9 years,26,711036,3.66
I Leukemia,Florida,1-4 years,1799,19531010,9.209999999999999
I Leukemia,Florida,10-14 years,796,26464457,3.0100000000000002
I Leukemia,Florida,15-19 years,1051,27141887,3.8700000000000006
I Leukemia,Florida,5-9 years,1072,24853995,4.3100000000000005
I Leukemia,Florida,< 1 year,228,4872286,4.68
I Leukemia,Georgia,1-4 years,906,12030233,7.53
I Leukemia,Georgia,10-14 years,497,15873183,3.1300000000000003
I Leukemia,Georgia,15-19 years,497,15860044,3.1300000000000003
I Leukemia,Georgia,5-9 years,570,15251004,3.74
I Leukemia,Georgia,< 1 year,131,2996855,4.37
