cancer_site,state,race,count,population,crude_rate_100k,crude_rate_per_100k
I Leukemia,Alabama,Black or African American,270,9217521,2.93,2.93
I(a) Lymphoid leukemias,Alabama,Black or African American,141,9217521,1.5300000000000002,1.53
I(b) Acute myeloid leukemias,Alabama,Black or African American,73,9217521,0.79,0.79
I(c) Chronic myeloproliferative diseases,Alabama,Black or African American,45,9217521,0.49000000000000005,0.49
II Lymphoma and reticuloendothelial neoplasms,Alabama,Black or African American,179,9217521,1.94,1.94
II(a) Hodgkin lymphomas,Alabama,Black or African American,89,9217521,0.97,0.97
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Alabama,Black or African American,71,9217521,0.77,0.77
III CNS and misc intracranial and intraspinal neoplasms,Alabama,Black or African American,199,9217521,2.16,2.16
III(a) Ependymomas and choroid plexus tumor,Alabama,Black or African American,19,9217521,0.21000000000000002,0.21
III(b) Astrocytomas,Alabama,Black or African American,81,9217521,0.8800000000000001,0.88
III(c) Intracranial and intraspinal embryonal tumors,Alabama,Black or African American,33,9217521,0.36000000000000004,0.36
III(d) Other gliomas,Alabama,Black or African American,26,9217521,0.27999999999999997,0.28
III(f) Unspecified intracranial and intraspinal neoplasms,Alabama,Black or African American,28,9217521,0.30000000000000004,0.3
IV Sympathetic nervous system tumors,Alabama,Black or African American,67,9217521,0.73,0.73
IV(a) Neuroblastoma and ganglioneuroblastoma,Alabama,Black or African American,65,9217521,0.71,0.71
V Retinoblastoma,Alabama,Black or African American,19,9217521,0.21000000000000002,0.21
VI Renal tumors,Alabama,Black or African American,70,9217521,0.76,0.76
VI(a) Nephroblastoma and other nonepithelial renal tumors,Alabama,Black or African American,58,9217521,0.63,0.63
VII Hepatic tumor,Alabama,Black or African American,24,9217521,0.26,0.26
VII(a) Hepatoblastoma,Alabama,Black or African American,17,9217521,0.18000000000000002,0.18
VIII Malignant bone tumors,Alabama,Black or African American,63,9217521,0.68,0.68
VIII(a) Osteosarcomas,Alabama,Black or African American,45,9217521,0.49000000000000005,0.49
IX Soft-tissue sarcomas,Alabama,Black or African American,122,9217521,1.32,1.32
IX(a) Rhabdomyosarcomas,Alabama,Black or African American,52,9217521,0.5599999999999999,0.56
IX(d) Other specified soft tissue sarcomas,Alabama,Black or African American,44,9217521,0.48,0.48
"X Germ-cell, trophoblastic and other gonadal neoplasms",Alabama,Black or African American,57,9217521,0.6200000000000001,0.62
X(c) Malignant gonadal germ cell tumors,Alabama,Black or African American,27,9217521,0.29,0.29
XI Carcinomas and other malignant epithelial neoplasms,Alabama,Black or African American,98,9217521,1.06,1.06
XI(b) Thyroid carcinomas,Alabama,Black or African American,30,9217521,0.33,0.33
XI(c) Nasopharyngeal carcinomas,Alabama,Black or African American,17,9217521,0.18000000000000002,0.18
XI(f) Other and unspecified carcinomas,Alabama,Black or African American,43,9217521,0.47000000000000003,0.47
XII Other and unspecified malignant neoplasms,Alabama,Black or African American,40,9217521,0.43,0.43
XII(b) Other unspecified malignant tumors,Alabama,Black or African American,39,9217521,0.42000000000000004,0.42
I Leukemia,Alabama,White,816,19025293,4.29,4.29
I(a) Lymphoid leukemias,Alabama,White,562,19025293,2.95,2.95
