cancer_site,state,sex,count,population,crude_rate_100k
I Leukemia,Alabama,Female,494,14140689,3.49
I Leukemia,Alabama,Male,622,14736390,4.220000000000001
I Leukemia,Alaska,Female,99,2279931,4.34
I Leukemia,Alaska,Male,129,2440694,5.29
I Leukemia,Arizona,Female,900,19406377,4.64
I Leukemia,Arizona,Male,1086,20369280,5.33
I Leukemia,Arkansas,Female,311,8729058,3.5600000000000005
I Leukemia,Arkansas,Male,406,9169100,4.43
I Leukemia,California,Female,5438,115078726,4.7299999999999995
I Leukemia,California,Male,7169,120991812,5.93
I Leukemia,Colorado,Female,594,15025190,3.95
I Leukemia,Colorado,Male,798,15862099,5.03
I Leukemia,Connecticut,Female,388,10175364,3.8100000000000005
I Leukemia,Connecticut,Male,519,10654876,4.870000000000001
I Leukemia,Delaware,Female,96,2591476,3.7
I Leukemia,Delaware,Male,142,2676960,5.300000000000001
I Leukemia,District of Columbia,Female,40,1550069,2.58
I Leukemia,District of Columbia,Male,89,1533269,5.800000000000001
I Leukemia,Florida,Female,2149,50182775,4.28
I Leukemia,Florida,Male,2797,52680860,5.3100000000000005
I Leukemia,Georgia,Female,1185,30321686,3.91
I Leukemia,Georgia,Male,1416,31689633,4.470000000000001
I Leukemia,Hawaii,Female,168,3750270,4.4799999999999995
I Leukemia,Hawaii,Male,186,3997425,4.65
I Leukemia,Idaho,Female,198,5258478,3.7700000000000005
I Leukemia,Idaho,Male,266,5476278,4.86
I Leukemia,Illinois,Female,1619,38604523,4.19
I Leukemia,Illinois,Male,2094,40489343,5.170000000000001
I Leukemia,Indiana,Female,697,18245506,3.8200000000000003
I Leukemia,Indiana,Male,899,19169072,4.69
I Leukemia,Iowa,Female,361,9228398,3.91
I Leukemia,Iowa,Male,454,9696593,4.68
I Leukemia,Kansas,Female,364,8950919,4.07
I Leukemia,Kansas,Male,451,9455616,4.7700000000000005
I Leukemia,Kentucky,Female,470,12645562,3.7200000000000006
I Leukemia,Kentucky,Male,648,13328766,4.86
I Leukemia,Louisiana,Female,505,14259277,3.54
I Leukemia,Louisiana,Male,660,14826787,4.45
I Leukemia,Maine,Female,144,3472550,4.15
I Leukemia,Maine,Male,191,3671569,5.2
I Leukemia,Maryland,Female,588,17122384,3.4299999999999997
I Leukemia,Maryland,Male,772,17861848,4.32
I Leukemia,Massachusetts,Female,728,18423690,3.95
I Leukemia,Massachusetts,Male,865,19157003,4.5200000000000005
I Leukemia,Michigan,Female,1155,29825800,3.8700000000000006
I Leukemia,Michigan,Male,1440,31328957,4.6000000000000005
I Leukemia,Minnesota,Female,698,16188565,4.3100000000000005
I Leukemia,Minnesota,Male,810,16954017,4.78
I Leukemia,Mississippi,Female,250,7683130,3.25
I Leukemia,Mississippi,Male,331,7986473,4.14
I Leukemia,Missouri,Female,641,17691930,3.6200000000000006
I Leukemia,Missouri,Male,776,18574543,4.18
I Leukemia,Montana,Female,113,2835131,3.99
I Leukemia,Montana,Male,153,3010924,5.08
I Leukemia,Nebraska,Female,237,5805706,4.08
I Leukemia,Nebraska,Male,293,6097724,4.8100000000000005
I Leukemia,Nevada,Female,343,7794272,4.4
I Leukemia,Nevada,Male,496,8220353,6.03
I Leukemia,New Hampshire,Female,152,3642488,4.170000000000001
I Leukemia,New Hampshire,Male,173,3810999,4.54
I Leukemia,New Jersey,Female,1139,25677915,4.44
I Leukemia,New Jersey,Male,1425,26976605,5.28
I Leukemia,New Mexico,Female,270,6321366,4.2700000000000005
I Leukemia,New Mexico,Male,388,6583143,5.890000000000001
I Leukemia,New York,Female,2349,55453325,4.24
I Leukemia,New York,Male,2937,58064527,5.0600000000000005
I Leukemia,North Carolina,Female,1028,27670201,3.7200000000000006
I Leukemia,North Carolina,Male,1398,28979727,4.82
I Leukemia,North Dakota,Female,61,2071886,2.94
I Leukemia,North Dakota,Male,112,2194388,5.1000000000000005
I Leukemia,Ohio,Female,1278,34368943,3.7200000000000006
