cancer_site,state,year,count,population,crude_rate_100k
I Leukemia,Alabama,1999,26,1255857,2.07
I Leukemia,Arizona,1999,63,1480412,4.260000000000001
I Leukemia,Arkansas,1999,20,762405,2.62
I Leukemia,California,1999,484,10162042,4.760000000000001
I Leukemia,Colorado,1999,45,1204900,3.73
I Leukemia,Connecticut,1999,34,917417,3.7100000000000004
I Leukemia,Florida,1999,150,4003280,3.75
I Leukemia,Georgia,1999,84,2373428,3.54
I Leukemia,Illinois,1999,163,3599110,4.53
I Leukemia,Indiana,1999,79,1755549,4.5
I Leukemia,Iowa,1999,33,827846,3.99
I Leukemia,Kansas,1999,36,798028,4.510000000000001
I Leukemia,Kentucky,1999,47,1116377,4.21
I Leukemia,Louisiana,1999,43,1376341,3.12
I Leukemia,Maine,1999,17,336396,5.050000000000001
I Leukemia,Maryland,1999,52,1482861,3.5100000000000002
I Leukemia,Massachusetts,1999,65,1666586,3.9000000000000004
I Leukemia,Michigan,1999,120,2881172,4.16
I Leukemia,Minnesota,1999,41,1429505,2.87
I Leukemia,Missouri,1999,56,1594201,3.5100000000000002
I Leukemia,Nebraska,1999,21,505276,4.16
I Leukemia,Nevada,1999,28,541544,5.170000000000001
I Leukemia,New Jersey,1999,105,2263704,4.64
I Leukemia,New Mexico,1999,28,567386,4.93
I Leukemia,New York,1999,208,5187922,4.010000000000001
I Leukemia,North Carolina,1999,80,2158582,3.7100000000000004
I Leukemia,Ohio,1999,125,3222127,3.88
I Leukemia,Oklahoma,1999,43,1004768,4.28
I Leukemia,Oregon,1999,46,940829,4.890000000000001
I Leukemia,Pennsylvania,1999,150,3275657,4.58
I Leukemia,South Carolina,1999,36,1132367,3.18
I Leukemia,Tennessee,1999,27,1548896,1.74
I Leukemia,Texas,1999,315,6488388,4.8500000000000005
I Leukemia,Utah,1999,32,808255,3.9600000000000004
I Leukemia,Virginia,1999,68,1918957,3.54
I Leukemia,Washington,1999,59,1674996,3.5200000000000005
I Leukemia,West Virginia,1999,17,460838,3.69
I Leukemia,Wisconsin,1999,56,1530291,3.66
I Leukemia,Alabama,2000,39,1255347,3.1100000000000003
I Leukemia,Arizona,2000,71,1525842,4.65
I Leukemia,Arkansas,2000,27,760784,3.5500000000000003
I Leukemia,California,2000,481,10255924,4.69
I Leukemia,Colorado,2000,50,1231243,4.0600000000000005
I Leukemia,Connecticut,2000,46,926152,4.970000000000001
I Leukemia,Florida,2000,170,4058589,4.19
I Leukemia,Georgia,2000,88,2422975,3.63
I Leukemia,Idaho,2000,16,415519,3.85
I Leukemia,Illinois,2000,153,3606347,4.24
I Leukemia,Indiana,2000,64,1764612,3.63
I Leukemia,Iowa,2000,25,827924,3.02
I Leukemia,Kansas,2000,34,799571,4.25
I Leukemia,Kentucky,2000,48,1114144,4.3100000000000005
I Leukemia,Louisiana,2000,44,1365997,3.2200000000000006
I Leukemia,Maryland,2000,51,1493782,3.41
I Leukemia,Massachusetts,2000,60,1676429,3.58
I Leukemia,Michigan,2000,129,2884980,4.470000000000001
I Leukemia,Minnesota,2000,65,1438110,4.5200000000000005
I Leukemia,Missouri,2000,62,1595254,3.89
I Leukemia,Nebraska,2000,19,504598,3.7700000000000005
I Leukemia,Nevada,2000,31,566256,5.470000000000001
I Leukemia,New Jersey,2000,92,2285412,4.03
I Leukemia,New Mexico,2000,23,564526,4.07
I Leukemia,New York,2000,202,5206876,3.88
I Leukemia,North Carolina,2000,86,2196520,3.9200000000000004
I Leukemia,Ohio,2000,110,3214599,3.4200000000000004
I Leukemia,Oklahoma,2000,44,1001944,4.39
I Leukemia,Oregon,2000,44,945370,4.65
I Leukemia,Pennsylvania,2000,139,3267204,4.25
I Leukemia,Rhode Island,2000,19,282804,6.720000000000001
I Leukemia,South Carolina,2000,43,1137657,3.78
I Leukemia,Tennessee,2000,55,1562595,3.5200000000000005
I Leukemia,Texas,2000,308,6568599,4.69
I Leukemia,Utah,2000,40,814633,4.91
I Leukemia,Virginia,2000,79,1940254,4.07
I Leukemia,Washington,2000,61,1686223,3.6200000000000006
I Leukemia,Wisconsin,2000,53,1533977,3.4600000000000004
I Leukemia,Alabama,2001,48,1249631,3.84
I Leukemia,Arizona,2001,85,1546638,5.5
I Leukemia,Arkansas,2001,27,756879,3.5700000000000003
I Leukemia,California,2001,518,10313880,5.0200000000000005
I Leukemia,Colorado,2001,61,1256827,4.8500000000000005
I Leukemia,Connecticut,2001,41,934730,4.39
I Leukemia,Florida,2001,220,4121474,5.34
I Leukemia,Georgia,2001,100,2460269,4.0600000000000005
I Leukemia,Hawaii,2001,21,326708,6.43
I Leukemia,Idaho,2001,20,418950,4.7700000000000005
I Leukemia,Illinois,2001,179,3603190,4.970000000000001
I Leukemia,Indiana,2001,80,1767384,4.53
I Leukemia,Iowa,2001,28,824756,3.39
I Leukemia,Kansas,2001,32,798625,4.010000000000001
I Leukemia,Kentucky,2001,44,1109841,3.9600000000000004
I Leukemia,Louisiana,2001,44,1349122,3.2600000000000002
I Leukemia,Maine,2001,18,335588,5.36
I Leukemia,Maryland,2001,43,1506076,2.8600000000000003
I Leukemia,Massachusetts,2001,57,1683014,3.39
I Leukemia,Michigan,2001,125,2880673,4.34
I Leukemia,Minnesota,2001,77,1443735,5.33
I Leukemia,Missouri,2001,61,1593065,3.83
I Leukemia,Nebraska,2001,18,504986,3.5600000000000005
I Leukemia,Nevada,2001,34,584060,5.82
I Leukemia,New Hampshire,2001,19,347811,5.460000000000001
I Leukemia,New Jersey,2001,116,2303248,5.04
I Leukemia,New Mexico,2001,39,560758,6.95
I Leukemia,New York,2001,220,5193778,4.24
I Leukemia,North Carolina,2001,99,2239347,4.420000000000001
I Leukemia,Ohio,2001,120,3200250,3.75
I Leukemia,Oklahoma,2001,41,996798,4.11
I Leukemia,Oregon,2001,55,947017,5.8100000000000005
I Leukemia,Pennsylvania,2001,144,3256966,4.420000000000001
I Leukemia,Rhode Island,2001,22,283057,7.7700000000000005
I Leukemia,South Carolina,2001,44,1140572,3.8600000000000003
I Leukemia,Tennessee,2001,70,1565704,4.470000000000001
I Leukemia,Texas,2001,362,6650892,5.44
I Leukemia,Utah,2001,25,819288,3.0500000000000003
I Leukemia,Virginia,2001,60,1960964,3.0600000000000005
I Leukemia,Washington,2001,78,1688011,4.62
I Leukemia,West Virginia,2001,16,446339,3.58
I Leukemia,Wisconsin,2001,58,1535518,3.78
I Leukemia,Alabama,2002,52,1244435,4.18
I Leukemia,Arizona,2002,84,1575649,5.33
I Leukemia,Arkansas,2002,28,755574,3.7100000000000004
I Leukemia,California,2002,539,10354903,5.210000000000001
I Leukemia,Colorado,2002,50,1269413,3.94
I Leukemia,Connecticut,2002,41,940829,4.36
I Leukemia,Florida,2002,192,4190302,4.58
I Leukemia,Georgia,2002,92,2493892,3.69
I Leukemia,Idaho,2002,20,421525,4.74
I Leukemia,Illinois,2002,153,3594189,4.260000000000001
I Leukemia,Indiana,2002,61,1764686,3.4600000000000004
I Leukemia,Iowa,2002,39,817559,4.7700000000000005
I Leukemia,Kansas,2002,36,795970,4.5200000000000005
I Leukemia,Kentucky,2002,33,1109644,2.97
I Leukemia,Louisiana,2002,56,1338467,4.18
I Leukemia,Maryland,2002,56,1519125,3.69
I Leukemia,Massachusetts,2002,71,1683589,4.220000000000001
I Leukemia,Michigan,2002,146,2869862,5.09
I Leukemia,Minnesota,2002,61,1439059,4.24
I Leukemia,Missouri,2002,56,1589672,3.5200000000000005
I Leukemia,Nevada,2002,19,602712,3.1500000000000004
I Leukemia,New Jersey,2002,108,2318754,4.66
I Leukemia,New Mexico,2002,43,560824,7.670000000000001
I Leukemia,New York,2002,223,5177855,4.3100000000000005
I Leukemia,North Carolina,2002,69,2273537,3.0300000000000002
I Leukemia,Ohio,2002,141,3182127,4.43
I Leukemia,Oklahoma,2002,44,995124,4.420000000000001
I Leukemia,Oregon,2002,52,949117,5.48
I Leukemia,Pennsylvania,2002,165,3247389,5.08
I Leukemia,South Carolina,2002,41,1145171,3.58
I Leukemia,Tennessee,2002,58,1570856,3.69
I Leukemia,Texas,2002,348,6731078,5.170000000000001
I Leukemia,Utah,2002,41,823859,4.98
I Leukemia,Virginia,2002,72,1980961,3.63
I Leukemia,Washington,2002,68,1687895,4.03
I Leukemia,West Virginia,2002,19,443378,4.29
I Leukemia,Wisconsin,2002,74,1532552,4.83
I Leukemia,Alabama,2003,39,1242649,3.14
I Leukemia,Arizona,2003,70,1606325,4.36
I Leukemia,Arkansas,2003,42,756927,5.550000000000001
I Leukemia,California,2003,490,10407621,4.71
I Leukemia,Colorado,2003,60,1276428,4.7
I Leukemia,Connecticut,2003,41,944098,4.34
I Leukemia,Florida,2003,172,4252139,4.05
I Leukemia,Georgia,2003,87,2526258,3.44
I Leukemia,Idaho,2003,18,424477,4.24
I Leukemia,Illinois,2003,164,3581302,4.58
I Leukemia,Indiana,2003,62,1767761,3.5100000000000002
I Leukemia,Iowa,2003,26,813899,3.19
I Leukemia,Kansas,2003,26,794276,3.2700000000000005
I Leukemia,Kentucky,2003,43,1112867,3.8600000000000003
I Leukemia,Louisiana,2003,52,1331577,3.91
I Leukemia,Maine,2003,16,333646,4.800000000000001
I Leukemia,Maryland,2003,49,1526497,3.2100000000000004
I Leukemia,Massachusetts,2003,65,1678346,3.8700000000000006
I Leukemia,Michigan,2003,126,2859024,4.41
I Leukemia,Minnesota,2003,62,1435346,4.32
I Leukemia,Mississippi,2003,35,851364,4.11
I Leukemia,Missouri,2003,74,1588704,4.66
I Leukemia,Nebraska,2003,27,503725,5.36
I Leukemia,Nevada,2003,21,621575,3.38
I Leukemia,New Jersey,2003,114,2330306,4.890000000000001
I Leukemia,New Mexico,2003,28,559903,5
I Leukemia,New York,2003,232,5149468,4.510000000000001
I Leukemia,North Carolina,2003,97,2300840,4.220000000000001
I Leukemia,Ohio,2003,147,3169697,4.64
I Leukemia,Oklahoma,2003,47,992384,4.74
I Leukemia,Oregon,2003,35,949330,3.69
I Leukemia,Pennsylvania,2003,123,3239738,3.8000000000000003
I Leukemia,South Carolina,2003,33,1149948,2.87
I Leukemia,Tennessee,2003,59,1582280,3.73
I Leukemia,Texas,2003,344,6809683,5.050000000000001
