state,age_group,year,count,population,crude_rate_100k
Alabama,1-4 years,1999,25,236153,10.590000000000002
Alabama,10-14 years,1999,47,317379,14.81
Alabama,15-19 years,1999,50,327789,15.25
Alabama,5-9 years,1999,27,315749,8.55
Alaska,< 1 year,1999,0,9265,0
Arizona,1-4 years,1999,57,298582,19.09
Arizona,10-14 years,1999,32,364017,8.790000000000001
Arizona,15-19 years,1999,68,359836,18.900000000000002
Arizona,5-9 years,1999,40,380471,10.51
Arkansas,1-4 years,1999,31,145276,21.340000000000003
Arkansas,10-14 years,1999,27,193029,13.990000000000002
Arkansas,15-19 years,1999,19,200122,9.49
Arkansas,5-9 years,1999,16,188127,8.5
California,1-4 years,1999,417,2026500,20.580000000000002
California,10-14 years,1999,308,2497890,12.33
California,15-19 years,1999,450,2403117,18.73
California,5-9 years,1999,327,2748888,11.9
California,< 1 year,1999,117,485647,24.090000000000003
Colorado,1-4 years,1999,41,231098,17.740000000000002
Colorado,10-14 years,1999,35,306407,11.420000000000002
Colorado,15-19 years,1999,67,302365,22.16
Colorado,5-9 years,1999,38,304910,12.46
Connecticut,1-4 years,1999,43,180157,23.87
Connecticut,10-14 years,1999,27,236053,11.440000000000001
Connecticut,15-19 years,1999,37,213162,17.36
Connecticut,5-9 years,1999,28,245385,11.41
Delaware,1-4 years,1999,16,40846,39.17
Delaware,< 1 year,1999,0,10223,0
Florida,1-4 years,1999,143,754054,18.96
Florida,10-14 years,1999,124,1032139,12.01
Florida,15-19 years,1999,192,992265,19.35
Florida,5-9 years,1999,131,1037103,12.63
Florida,< 1 year,1999,62,187719,33.03
Georgia,1-4 years,1999,82,463161,17.7
Georgia,10-14 years,1999,62,591812,10.48
Georgia,15-19 years,1999,92,589631,15.600000000000001
Georgia,5-9 years,1999,75,609017,12.31
Hawaii,1-4 years,1999,17,64222,26.47
Hawaii,15-19 years,1999,18,81529,22.080000000000002
Idaho,1-4 years,1999,16,76693,20.86
Idaho,15-19 years,1999,31,111587,27.78
Illinois,1-4 years,1999,140,708678,19.76
Illinois,10-14 years,1999,129,893453,14.440000000000001
Illinois,15-19 years,1999,181,893729,20.25
Illinois,5-9 years,1999,101,929962,10.86
Illinois,< 1 year,1999,37,173288,21.35
Indiana,1-4 years,1999,82,337001,24.330000000000002
Indiana,10-14 years,1999,57,439078,12.980000000000002
Indiana,15-19 years,1999,85,455151,18.680000000000003
Indiana,5-9 years,1999,42,440415,9.540000000000001
Indiana,< 1 year,1999,30,83904,35.760000000000005
Iowa,1-4 years,1999,25,149836,16.680000000000003
Iowa,10-14 years,1999,25,210410,11.88
Iowa,15-19 years,1999,46,228268,20.150000000000002
Iowa,5-9 years,1999,22,202438,10.870000000000001
Kansas,1-4 years,1999,34,149485,22.740000000000002
Kansas,10-14 years,1999,25,204242,12.240000000000002
Kansas,15-19 years,1999,32,210417,15.21
Kentucky,1-4 years,1999,41,212762,19.27
Kentucky,10-14 years,1999,33,279093,11.82
Kentucky,15-19 years,1999,57,292505,19.490000000000002
Kentucky,5-9 years,1999,28,279246,10.030000000000001
Louisiana,1-4 years,1999,35,253052,13.830000000000002
Louisiana,10-14 years,1999,34,350265,9.71
Louisiana,15-19 years,1999,80,369278,21.66
Louisiana,5-9 years,1999,44,339437,12.96
Maine,15-19 years,1999,16,89060,17.97
Maryland,1-4 years,1999,46,284850,16.150000000000002
Maryland,10-14 years,1999,59,383228,15.4
Maryland,15-19 years,1999,76,350607,21.680000000000003
Maryland,5-9 years,1999,51,394395,12.930000000000001
Maryland,< 1 year,1999,19,69781,27.230000000000004
Massachusetts,1-4 years,1999,65,321520,20.22
Massachusetts,10-14 years,1999,50,422958,11.82
Massachusetts,15-19 years,1999,81,408407,19.830000000000002
Massachusetts,5-9 years,1999,50,435970,11.47
Massachusetts,< 1 year,1999,16,77731,20.580000000000002
Michigan,1-4 years,1999,99,541478,18.28
Michigan,10-14 years,1999,97,737022,13.16
Michigan,15-19 years,1999,143,719575,19.87
Michigan,5-9 years,1999,69,752758,9.17
Michigan,< 1 year,1999,28,130339,21.480000000000004
Minnesota,1-4 years,1999,47,262184,17.930000000000003
Minnesota,10-14 years,1999,52,374016,13.9
Minnesota,15-19 years,1999,81,371672,21.790000000000003
Minnesota,5-9 years,1999,32,357216,8.959999999999999
Missouri,1-4 years,1999,58,296696,19.55
