state,race,year,count,population,crude_rate_100k
Alabama,Asian or Pacific Islander,1999,0,9895,0
Alabama,Black or African American,1999,54,412140,13.100000000000001
Alabama,White,1999,101,826438,12.22
Alaska,Asian or Pacific Islander,1999,0,10277,0
Arizona,Asian or Pacific Islander,1999,0,32484,0
Arizona,White,1999,192,1259350,15.25
Arkansas,Black or African American,1999,17,163532,10.4
Arkansas,White,1999,84,585995,14.330000000000002
California,Asian or Pacific Islander,1999,151,1167055,12.940000000000001
California,Black or African American,1999,101,889456,11.36
California,White,1999,1340,7935171,16.89
Colorado,White,1999,172,1085235,15.850000000000001
Connecticut,American Indian or Alaska Native,1999,0,4016,0
Connecticut,Asian or Pacific Islander,1999,0,26878,0
Connecticut,White,1999,127,760972,16.69
Delaware,American Indian or Alaska Native,1999,0,902,0
Delaware,Asian or Pacific Islander,1999,0,4860,0
Delaware,White,1999,26,155079,16.77
District of Columbia,American Indian or Alaska Native,1999,0,506,0
Florida,Black or African American,1999,113,905949,12.47
Florida,White,1999,525,2993407,17.540000000000003
Georgia,American Indian or Alaska Native,1999,0,6527,0
Georgia,Black or African American,1999,86,837942,10.26
Georgia,White,1999,230,1475946,15.580000000000002
Hawaii,American Indian or Alaska Native,1999,0,1287,0
Hawaii,Asian or Pacific Islander,1999,38,258057,14.730000000000002
Idaho,White,1999,66,396388,16.650000000000002
Illinois,American Indian or Alaska Native,1999,0,14171,0
Illinois,Asian or Pacific Islander,1999,17,125562,13.540000000000001
Illinois,Black or African American,1999,85,703113,12.090000000000002
Illinois,White,1999,483,2756264,17.52
Indiana,American Indian or Alaska Native,1999,0,5459,0
Indiana,Black or African American,1999,20,195039,10.25
Indiana,White,1999,268,1536530,17.44
Iowa,American Indian or Alaska Native,1999,0,3514,0
Iowa,White,1999,114,783305,14.55
Kansas,American Indian or Alaska Native,1999,0,10859,0
Kansas,White,1999,100,706710,14.15
Kentucky,American Indian or Alaska Native,1999,0,1982,0
Kentucky,White,1999,155,997780,15.530000000000001
Louisiana,Black or African American,1999,67,553594,12.100000000000001
Louisiana,White,1999,136,794914,17.11
Maine,American Indian or Alaska Native,1999,0,2811,0
Maine,Asian or Pacific Islander,1999,0,3467,0
Maine,Black or African American,1999,0,3595,0
Maine,White,1999,63,326523,19.290000000000003
Maryland,Black or African American,1999,77,497349,15.480000000000002
Maryland,White,1999,162,918182,17.64
Massachusetts,American Indian or Alaska Native,1999,0,6963,0
Massachusetts,White,1999,227,1431454,15.86
