state,year,sex,count,population,crude_rate_100k
Alabama,1999,Female,71,614276,11.56
Alabama,1999,Male,86,641581,13.4
Arizona,1999,Female,106,720215,14.719999999999999
Arizona,1999,Male,105,760197,13.81
Arkansas,1999,Female,52,371308,14
Arkansas,1999,Male,52,391097,13.3
California,1999,Female,725,4939912,14.680000000000001
California,1999,Male,894,5222130,17.12
Colorado,1999,Female,94,584561,16.080000000000002
Colorado,1999,Male,98,620339,15.8
Connecticut,1999,Female,78,447501,17.430000000000003
Connecticut,1999,Male,66,469916,14.05
Delaware,1999,Female,18,105777,17.02
Delaware,1999,Male,18,109950,16.37
Florida,1999,Female,284,1949681,14.57
Florida,1999,Male,368,2053599,17.919999999999998
Georgia,1999,Female,151,1155530,13.07
Georgia,1999,Male,175,1217898,14.37
Hawaii,1999,Female,26,160382,16.21
Hawaii,1999,Male,27,170668,15.82
Idaho,1999,Female,34,200963,16.919999999999998
Idaho,1999,Male,35,210518,16.630000000000003
Illinois,1999,Female,277,1752623,15.8
Illinois,1999,Male,311,1846487,16.84
Indiana,1999,Female,149,855357,17.419999999999998
Indiana,1999,Male,147,900192,16.330000000000002
Iowa,1999,Female,62,403495,15.37
Iowa,1999,Male,61,424351,14.37
Kansas,1999,Female,50,387705,12.9
Kansas,1999,Male,60,410323,14.62
Kentucky,1999,Female,68,543269,12.520000000000001
Kentucky,1999,Male,102,573108,17.8
Louisiana,1999,Female,102,675580,15.100000000000001
Louisiana,1999,Male,103,700761,14.700000000000001
Maine,1999,Female,23,163912,14.030000000000001
Maine,1999,Male,40,172484,23.19
Maryland,1999,Female,102,725011,14.07
Maryland,1999,Male,149,757850,19.66
Massachusetts,1999,Female,124,814967,15.219999999999999
Massachusetts,1999,Male,138,851619,16.2
Michigan,1999,Female,199,1404818,14.17
Michigan,1999,Male,237,1476354,16.05
Minnesota,1999,Female,108,696913,15.5
Minnesota,1999,Male,115,732592,15.700000000000001
Missouri,1999,Female,104,778455,13.36
Missouri,1999,Male,117,815746,14.340000000000002
Montana,1999,Female,18,125524,14.340000000000002
Montana,1999,Male,27,133156,20.28
Nebraska,1999,Female,36,246675,14.590000000000002
Nebraska,1999,Male,48,258601,18.56
Nevada,1999,Female,35,263069,13.3
Nevada,1999,Male,42,278475,15.080000000000002
